UNIQUE_IDENTIFICATION_NUMBER_OF_THE_INSTITUTION,"Percent of Bachelor Degrees Awarded in Science, Technology, Engineering, and Math",Percent of Bachelor Degrees Awarded in Arts and Humanities,Percent of Bachelor Degrees Awarded in Education,Percent of Bachelor Degrees Awarded in Social Sciences,Percent of Bachelor Degrees Awarded in Health Sciences,Percent of Bachelor Degrees Awarded in Business,Percent of American Indian or Alaska Native Undergraduates,Percent of Two or More Races Undergraduates,Percent of Asian Undergraduates,Percent of Black or African American Undergraduates,Percent of Latino Undergraduates,Percent of Native Hawaiian or Other Pacific Islander Undergraduates,Percent of White Undergraduates,Percent of Women Undergraduates,Percent of Men Undergraduates,Percent of Nonresident Undergraduates,Percent of Undergraduates Race-Ethnicity Unknown,Percent of Undergraduates Age 25 to 64,"Percent of Full-time, First-time Degree-Seeking Undergraduates","Percent of First-Time, Full-Time International Undergraduates",Total Enrollment,Total Percent of Men Admitted,Total Percent of Women Admitted,Average Cost of Attendance Out-of-State,Average Cost of Attendance In-State,"Percent Full-time, First-time, Pell Grant Recipients Receiving an Award - 6 Years","First-Time, Full-Time Retention Rate","Out-of-State Average Tuition for First-Time, Full-Time Undergraduates","Average In-State Tuition for First-Time, Full-Time Undergraduates","Average Amount of Loans Awarded to First-Time, Full-Time Undergraduates","Average Amount of Federal Grant Aid Awarded to First-Time, Full-Time Undergraduates","Average Amount of Institutional Grant Aid Awarded to First-Time, Full-Time Undergraduates","Average Amount of Federal, State, Local, or Institutional Grant Aid Awarded","Percent of First-Time, Full-Time Undergraduates Awarded Federal, State, Local or Institutional Grant Aid","Percent of First-Time, Full-Time Undergraduates Awarded Pell Grants","Average Net Price After Grants, 2020-21","Average Net Price for Low-Income Students, 2020-21","Average Net Price After Grants- Students Awarded a Grant or Scholarship, 2020-21","Number Awarded a Grant or Scholarship - Low-Income Students In-State, 2020-21","Number Awarded a Grant or Scholarship - Low-Income Students, 2020-21","Average Net Price After Grants - Low-Income Students Awarded Financial Aid, 2020-21",Cohort Default Rate,Median Debt for Dependent Students,Median Debt of Completers,Median Debt for Independent Students
112084,0.029703,0.009901,0.0,0.0,0.0,0.306931,1.0,6.0,3.0,10.0,31.0,1.0,38.0,55.0,45.0,0.0,38.0,17.0,25.0,,462.0,47.0,55.0,49948.666667,49948.666667,85.0,60.0,23497.0,23497.0,4587.0,2965.0,11038.0,13378.0,77.0,33.0,34564.0,32388.0,34564.0,,13.0,32388.0,0.086,13000.0,23000.0,17000.0
113236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,25.0,4.0,51.0,0.0,12.0,59.0,41.0,,,30.0,10.0,0.0,13406.0,,,25503.5,17751.5,49.0,,8856.0,1104.0,6175.0,5851.0,686.0,5996.0,87.0,50.0,7951.0,4798.0,,376.0,,4798.0,0.085,4500.0,,9500.0
114390,0.0,0.0,0.0,0.0,0.0,0.75,,,,,,,,,,,,,,,,,,47838.5,47838.5,67.0,,31275.0,31275.0,5917.0,5999.0,7936.0,14190.0,90.0,48.0,31404.0,25338.0,31404.0,,3.0,25338.0,0.066,12000.0,14165.0,14750.0
114585,,,,,,,,,,,,,,,,8.0,0.0,,,,375.0,,,,,,,,,,,,,,,,,,,,,0.015,,,
115083,0.007143,0.0,0.0,0.0,0.0,0.992857,2.0,1.0,13.0,20.0,21.0,2.0,33.0,27.0,73.0,5.0,14.0,93.0,0.0,,2425.0,,,,,,,11088.0,11088.0,,,,,,,,,,,,,0.019,,30625.0,
113218,,,,,,,0.0,4.0,4.0,4.0,35.0,0.0,39.0,58.0,42.0,,,37.0,5.0,,7809.0,,,24311.0,15715.0,42.0,70.0,9884.0,1288.0,2567.0,5604.0,750.0,6584.0,78.0,52.0,6460.0,4867.0,,137.0,,4867.0,0.101,3500.0,,8000.0
116350,,,,,,,8.0,0.0,9.0,6.0,42.0,1.0,32.0,82.0,18.0,,,53.0,10.0,,158.0,,,,,,56.0,,,8393.0,6801.0,,6801.0,28.0,28.0,19739.0,20248.0,19739.0,,6.0,20248.0,0.046,10380.0,11860.0,11983.0
117636,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,24.0,4.0,40.0,0.0,24.0,75.0,25.0,10.0,0.0,56.0,0.0,,4390.0,,,,,,,32736.0,32736.0,,,,,,,,,,,,,0.006,16266.0,20082.0,23452.0
117733,,,,,,,0.0,3.0,7.0,5.0,52.0,0.0,29.0,58.0,42.0,,,40.0,5.0,3.0,14018.0,,,23281.5,15507.5,38.0,73.0,8970.0,1196.0,6879.0,4207.0,,6104.0,79.0,52.0,11833.0,9025.0,,245.0,,9025.0,0.082,4750.0,9375.0,10500.0
117803,,,,,,,1.0,2.0,29.0,4.0,43.0,0.0,21.0,71.0,29.0,,,79.0,0.0,,180.0,,,,,,,,,,,,,,,,,,,,,0.026,,10290.0,
118198,,,,,,,1.0,3.0,12.0,12.0,31.0,2.0,33.0,77.0,23.0,,,59.0,32.0,,555.0,95.0,96.0,,,72.0,78.0,,,7468.0,4504.0,,4758.0,53.0,52.0,19409.0,18962.0,19409.0,,26.0,18962.0,0.076,6568.0,8762.0,7134.0
118541,0.049296,0.15493,0.0,0.0,0.0,0.309859,0.0,9.0,5.0,9.0,47.0,0.0,21.0,52.0,48.0,23.0,1.0,7.0,15.0,,514.0,,,52180.666667,52180.666667,48.0,60.0,35158.0,35158.0,6467.0,5689.0,14198.0,18992.0,99.0,49.0,35660.0,26875.0,35660.0,,23.0,26875.0,0.079,15000.0,21500.0,21000.0
118888,0.107784,0.011976,0.011976,0.143713,0.0,0.041916,0.0,11.0,7.0,13.0,33.0,0.0,33.0,100.0,0.0,0.0,1.0,18.0,9.0,,817.0,5.0,84.0,45748.333333,45748.333333,61.0,62.0,29340.0,29340.0,6162.0,6049.0,16609.0,22278.0,100.0,38.0,25283.0,14854.0,25283.0,,27.0,14854.0,0.035,14850.0,22500.0,21461.0
119216,,,,,,,0.0,6.0,7.0,5.0,48.0,0.0,27.0,60.0,40.0,,,36.0,10.0,2.0,14035.0,,,25795.0,15925.0,29.0,67.0,11250.0,1380.0,,5024.0,487.0,4710.0,87.0,38.0,7704.0,3545.0,,318.0,,3545.0,0.086,5000.0,,9625.0
119553,,,,,,,2.0,12.0,8.0,10.0,23.0,1.0,34.0,76.0,24.0,,,87.0,23.0,,1201.0,,,,,,76.0,,,8646.0,5767.0,985.0,5467.0,73.0,67.0,28944.0,28652.0,28944.0,,241.0,28652.0,0.083,5500.0,9500.0,9500.0
120290,,,,,,,0.0,5.0,47.0,3.0,24.0,1.0,14.0,50.0,50.0,,,29.0,9.0,5.0,8267.0,,,19920.0,14064.0,61.0,82.0,6960.0,1104.0,9500.0,5004.0,605.0,4420.0,57.0,24.0,12787.0,6967.0,,88.0,,6967.0,0.072,4500.0,,9500.0
120661,,,,,,,0.0,0.0,6.0,4.0,28.0,1.0,7.0,78.0,22.0,,,55.0,23.0,,735.0,98.0,99.0,,,73.0,64.0,,,8576.0,3994.0,816.0,4026.0,79.0,73.0,23211.0,22625.0,23211.0,,112.0,22625.0,0.112,9441.0,9500.0,9500.0
